Sl No,Name of Candidate,Course,Email,Ph
1,Teena Shajan, JAVA FULL STACK WITH ANGULAR,afswn_lahwty24@gmail.com,9889512000
2,Akash Jayan, JAVA FULL STACK WITH ANGULAR,gshtasb.mlk@gmail.com,9889512001
3,Akshay Jayan, JAVA FULL STACK WITH ANGULAR,manya16@yahoo.com,9889512002
4,J.Sharath, JAVA FULL STACK WITH ANGULAR,hmaywn_ghny@gmail.com,9889512003
5,Ashwin S.Kumar, JAVA FULL STACK WITH ANGULAR,aartam_frmanfrmaeyan@yahoo.com,9889512004
6,Eabin Charly, JAVA FULL STACK WITH ANGULAR,kambyz69@hotmail.com,9889512005
7,Cijo Cyriac, JAVA FULL STACK WITH ANGULAR,srwr_lajwrdy@hotmail.com,9889512006
8,Shambhu R., JAVA FULL STACK WITH ANGULAR,zadbkht_mlayry@gmail.com,9889512007
9,N.K. Vyshnavi , JAVA FULL STACK WITH ANGULAR,mary47@yahoo.com,9889512008
10,Nirmal N. Nair, JAVA FULL STACK WITH ANGULAR,mhram.kawyany14@yahoo.com,9889512009
11,Alen Sunny, JAVA FULL STACK WITH ANGULAR,mana91@hotmail.com,9889512010
12,Arjun T.,Data Science,yadgar.mzfr@hotmail.com,9889512011
13,Megharaj V.S,Artificial Intelligence,prychhr.nqybzadh@hotmail.com,9889512012
14,Ajmal Jalal,Graphic Design,srwsh33@gmail.com,9889512013
15,Belbin Shibi,Cyber Security,wys_nwbkhty65@yahoo.com,9889512014
16,Adeeba Basheer,Data Analytics,bhark_azyzy9@hotmail.com,9889512015
17,Aiswarya A. R.,Digital Marketing,kywandkht_mlayry23@hotmail.com,9889512016
18,Bijil Varghese,Social Media Marketing,yzdan.glmhmdy9@gmail.com,9889512017
19,Govind A. S.,Programming,khzad58@yahoo.com,9889512018
20,Krishnanandh N.,Foreign Language,bhshad_qadhy@hotmail.com,9889512019
21,Krishnendu R. G.,Web Development,aathrnwsh_fany@yahoo.com,9889512020
22,Muhammad Sadiq P. S.,Data Science,prywsh62@hotmail.com,9889512021
23,Nandhu Krishnan E. D.,Artificial Intelligence,lbkhnd_mhmdy@hotmail.com,9889512022
24,Naveen Nandanan,Graphic Design,hwrchhr77@gmail.com,9889512023
25,Prince Martin,Cyber Security,ftanh_qanay42@yahoo.com,9889512024
26,Sreelakshmi N. M,Data Analytics,rham.kamly@gmail.com,9889512025
27,Fasila Latheef,Digital Marketing,yawr28@hotmail.com,9889512026
28,Muhammed Afsal K. S.,Social Media Marketing,yganh_msbah@yahoo.com,9889512027
29,Nitheesh K. S.,Programming,glrw25@yahoo.com,9889512028
30,Sagar M Krishnadas,Foreign Language,whrz_nyshabwry47@gmail.com,9889512029
31,Abhinav Jaiju,Web Development,frjad_mhajrany@gmail.com,9889512030
32,Akhil M,Data Science,nwshdkht_kmaly@gmail.com,9889512031
33,Alfina Sulfikar B,Artificial Intelligence,jawyd.frhng@gmail.com,9889512032
34,Anjana K G,Graphic Design,gwhrnaz67@yahoo.com,9889512033
35,Arathi R,Cyber Security,snblh27@hotmail.com,9889512034
36,Arshin Jose Sandi,Data Analytics,hwr.mhdypwr@yahoo.com,9889512035
37,Ashwin Madhu,Digital Marketing,shbbw.myrdamady@hotmail.com,9889512036
38,Babu R,Social Media Marketing,mhrnya.namtzadh43@hotmail.com,9889512037
39,Bidhu M Renchi,Programming,shyrzad_qadhy@hotmail.com,9889512038
40,Binitha S,Foreign Language,bhnwd_mhjwby65@gmail.com,9889512039
41,Ganesh A,Web Development,akhtr41@hotmail.com,9889512040
42,Kadeejath Lubaiba,Data Science,kyandkht14@yahoo.com,9889512041
43,Mohammed Gasni,Artificial Intelligence,mhranfr.fryad46@gmail.com,9889512042
44,Nikhil Nandagopan,Graphic Design,bhzad_msbah75@gmail.com,9889512043
45,Risvana Sherin,Cyber Security,anwshrwan.aaly26@gmail.com,9889512044
46,Sameena,Data Analytics,mhraafaq43@gmail.com,9889512045
47,Sneha K Salu,Digital Marketing,mhdys39@yahoo.com,9889512046
48,Sreehari Prathap,Social Media Marketing,shyrng.myrzadh12@hotmail.com,9889512047
49,Sumeeth Kumar S Naik,Programming,sphr.alyzmany33@yahoo.com,9889512048
50,Akhil P Vijayan,Foreign Language,bhzad76@yahoo.com,9889512049
51,Amelin Thomas,Web Development,bapwk_qhrmany33@yahoo.com,9889512050
52,Aneesh S,Data Science,bwzhan.ythrby@hotmail.com,9889512051
53,Anjali Nair,Artificial Intelligence,mhraara92@hotmail.com,9889512052
54,Ann Mary Jose,Graphic Design,mhshyd71@hotmail.com,9889512053
55,Annie Abraham,Cyber Security,shahdkht_mfth67@yahoo.com,9889512054
56,Ashika Hussain,Data Analytics,gshtasb42@hotmail.com,9889512055
57,Avin Joseph,Digital Marketing,swlmaz.frj96@yahoo.com,9889512056
58,Haizon Helet Cruz,Social Media Marketing,mrzban.marwf@hotmail.com,9889512057
59,Jithumol S,Programming,nwyd_namwr56@gmail.com,9889512058
60,Junaid K.V,Foreign Language,zadbh.frshydwrd27@hotmail.com,9889512059
61,Jyothish A,Web Development,kywandkht29@hotmail.com,9889512060
62,Krishnanunni T K,Data Science,glbar_almalhdy@gmail.com,9889512061
63,Malavika K Nair,Artificial Intelligence,kyandkht57@yahoo.com,9889512062
64,Mohammed Anees A B,Graphic Design,nylwfr74@yahoo.com,9889512063
65,Nevin Sunny,Cyber Security,prywsh.mwhd46@gmail.com,9889512064
66,Nithin Peter,Data Analytics,kamnwsh.ghdhnfry@gmail.com,9889512065
67,Rashmi Nayak S,Digital Marketing,makan.nqdy@hotmail.com,9889512066
68,Rithwik S Menon,.NET FULL STACK WITH ANGULAR,nazchhr42@gmail.com,9889512067
69,Rohit Deepak,.NET FULL STACK WITH ANGULAR,zybar.mnwchhry@gmail.com,9889512068
70,Roshni A T,.NET FULL STACK WITH ANGULAR,qbad14@hotmail.com,9889512069
71,Sarith P Sajeev,.NET FULL STACK WITH ANGULAR,yashar.alyaabady@gmail.com,9889512070
72,Shallet Mary T Eldho,.NET FULL STACK WITH ANGULAR,kamyar59@gmail.com,9889512071
73,Sneha P,.NET FULL STACK WITH ANGULAR,kaban.mhjwby@yahoo.com,9889512072
74,Subin Younas,.NET FULL STACK WITH ANGULAR,frydkht.ndwshn4@hotmail.com,9889512073
75,Sujith S Kumar,.NET FULL STACK WITH ANGULAR,bhmn_mwswyan@yahoo.com,9889512074
76,Surabhi P S,.NET FULL STACK WITH ANGULAR,maral.qanay@yahoo.com,9889512075
77,Vincy Anto,.NET FULL STACK WITH ANGULAR,zadfr.nqybzadh20@hotmail.com,9889512076
78,Vyshnav Sasidharan,.NET FULL STACK WITH ANGULAR,aabandkht.ylda17@hotmail.com,9889512077
79,Yadhukrishnan Em,.NET FULL STACK WITH ANGULAR,dlangyz27@gmail.com,9889512078
80,Adnan M,NODE FULL STACK WITH REACT,frhng_ythrby@gmail.com,9889512079
81,Aiswarya Radhakrishnan,NODE FULL STACK WITH REACT,glbar_nqybzadh79@hotmail.com,9889512080
82,Ajay Pranav M K,NODE FULL STACK WITH REACT,dlaawyz_gnjy@yahoo.com,9889512081
83,Akash Nair,NODE FULL STACK WITH REACT,mhsyma73@hotmail.com,9889512082
84,Alwin Sonny,NODE FULL STACK WITH REACT,drya_mstwfy31@hotmail.com,9889512083
85,Anusha P R,NODE FULL STACK WITH REACT,bkhtyar97@yahoo.com,9889512084
86,Arjun N,NODE FULL STACK WITH REACT,zhyar_framrzy@gmail.com,9889512085
87,Basil Mathew,NODE FULL STACK WITH REACT,rwnak.ythrby@yahoo.com,9889512086
88,Fathima Zubair M P,NODE FULL STACK WITH REACT,khrm.azyzy@gmail.com,9889512087
89,Jibymol Joseph,NODE FULL STACK WITH REACT,saghr.hmaywn70@hotmail.com,9889512088
90,Jijo Joseph,Fundamental Marketing,wamq_asar91@gmail.com,9889512089
91,Joblin K. James,Content Marketing,jhannaz.fhmydh74@gmail.com,9889512090
92,Kanagarla Ravikanth,Content Marketing,glpr48@hotmail.com,9889512091
93,Kiran Maria Giby,Fundamental Marketing,nahyd43@gmail.com,9889512092
94,Megha P M,Social Media Marketing,mynadkht_namwr@gmail.com,9889512093
95,Mohamed Rishan Av,Fundamental Marketing,rkhsar_marwf@yahoo.com,9889512094
96,Navaneeth Sankar E M,Email Marketing,sty60@gmail.com,9889512095
97,Nihal Farhan Kt,Email Marketing,glbad64@yahoo.com,9889512096
98,Sarath,SEM,wyda_mhmdrdhayy87@gmail.com,9889512097
99,Sona Grace John,SEM,mstan44@hotmail.com,9889512098
100,Sreelakshmi Babu,Sales,mhran53@yahoo.com,9889512099
101,Sreyas T P,Sales,mhraab.hashmyrfsnjany@yahoo.com,9889512100
102,Thasni Sathar,Ecommerce,mhyndkht_glmhmdy@gmail.com,9889512101
103,V S Vishnupriyan,Sales,sark_qhrmany@hotmail.com,9889512102
104,A ASWATHI,Coding,bnfshh_mzfr@yahoo.com,9889512103
105,ABHIJITH V,Coding,aabtyn15@gmail.com,9889512104
106,MAHEEN A,Personal & Professional Development,shhrh40@gmail.com,9889512105
107,MOHAMMED ROSHAN,Design,tajy_msbahzadh76@gmail.com,9889512106
108,SHAJITH MON,Design,frwd.alya73@gmail.com,9889512107
109,KISHORE G,Entrepreneurship,bhdad.msbahzadh@hotmail.com,9889512108
110,SOORAJ NAIR,Business & Finance,kaban45@yahoo.com,9889512109
111,VISHAL PILLAI,Business & Finance,hwrzad71@hotmail.com,9889512110
112,Afsal G,Writing,karakw36@gmail.com,9889512111
113,Akshay Jayakumar,Communication,radman.waazy35@yahoo.com,9889512112
114,Divyamol N J,Communication,shmyn46@gmail.com,9889512113
115,Nithya CS,Entrepreneurship,ramyar_farsy70@hotmail.com,9889512114
116,Sangeetha K S,Entrepreneurship,syma_qadhy@yahoo.com,9889512115
117,Vincy Sahayaraj,Entrepreneurship,glbyz_nqybzadh58@yahoo.com,9889512116
118,Jijito V,Humanities,frwtn_mhmdy@yahoo.com,9889512117
119,ISSAC,Entrepreneurship,shahyn_qadhy@yahoo.com,9889512118
120,LIJO,Languages,saghr.qhrmanyan@gmail.com,9889512119
121,ABHINU BALACHANDRAN,Content Marketing,shbbw.frmanfrmaeyan@yahoo.com,9889512120
122,ADHEENA VARGHESE,Content Marketing,kmbwjyh_yahqy@yahoo.com,9889512121
123,ANEESH JOSE,Fundamental Marketing,kyhanh.nwab59@hotmail.com,9889512122
124,APARNNA S,Social Media Marketing,mrzban23@yahoo.com,9889512123
125,CHRISTY JACOB,Fundamental Marketing,afswn.lahwty@yahoo.com,9889512124
126,FEMI EMMANUEL,Email Marketing,mhsty.hashmyrfsnjany@gmail.com,9889512125
127,FONSO GEORGE,Email Marketing,yadgar36@gmail.com,9889512126
128,GEETHA E K,SEM,makan2@yahoo.com,9889512127
129,GOVIND A PRASAD,SEM,fryman.mnwchhry95@gmail.com,9889512128
130,LAKKAMRAJU GNANA DEEPIKA,Sales,tnaz.waazzadh@yahoo.com,9889512129
131,LIDIYA RAJU,Sales,pwnh.qadhy76@yahoo.com,9889512130
132,SARAVANAN A,Ecommerce,nwyndkht_msbah@yahoo.com,9889512131
133,SHERIN JOHN,Sales,brmk_kymyayy@gmail.com,9889512132
134,SUBIN S S,Coding,nwshaafryn_krdbchh28@yahoo.com,9889512133
135,TOMIN V JOSEPH,Coding,rawyar.alya@yahoo.com,9889512134
136,VISHNU VIJAYAKUMAR,Personal & Professional Development,paktn.kamkar16@gmail.com,9889512135
137,VYSHAKH V S,Design,kywandkht16@hotmail.com,9889512136
138,AISWARYA RAMDAS,Design,frynwsh_qanay21@gmail.com,9889512137
139,INDU L,Entrepreneurship,mhrandysh_alypwr2@hotmail.com,9889512138
140,PALLAVI SASIDHARAN,Business & Finance,kyan81@hotmail.com,9889512139
141,RENEESH J BRIGHT,Business & Finance,mhyndkht44@hotmail.com,9889512140
142,RAHUL PILLAI,Writing,rasa95@yahoo.com,9889512141
143,ASHIK K SATHEESH,Communication,nykpy_framrzy91@yahoo.com,9889512142
144,DRUSYA K,Communication,kamdyn_farsy58@yahoo.com,9889512143
145,VIGNESH C,Entrepreneurship,hwrmnd.njfy56@yahoo.com,9889512144
146,CHRISTY SUNNY,Entrepreneurship,jryrh_asar@gmail.com,9889512145
147,JOM JOB, JAVA FULL STACK WITH ANGULAR,srwsh_yadgar23@gmail.com,9889512146
148,MIDHUN M NAIR, JAVA FULL STACK WITH ANGULAR,nykzad.alya@hotmail.com,9889512147
149,SOUMYA MANUEL, JAVA FULL STACK WITH ANGULAR,maral89@gmail.com,9889512148
150,ATHIRA V S NAIR, JAVA FULL STACK WITH ANGULAR,srafraz_lahwty34@gmail.com,9889512149
151,Abiya Joy,PYTHON FULL STACK WITH ANGULAR,swzan.hashmyrfsnjany@hotmail.com,9889512150
152,Manu Mohan,PYTHON FULL STACK WITH ANGULAR,glbw.mqdm@yahoo.com,9889512151
153,Megha G,PYTHON FULL STACK WITH ANGULAR,makan.mwswyan14@gmail.com,9889512152
154,Sarath P,PYTHON FULL STACK WITH ANGULAR,nykpy_hashmyrfsnjany@hotmail.com,9889512153
155,Kevin Charley,PYTHON FULL STACK WITH ANGULAR,dayan97@gmail.com,9889512154
156,Ashna George,PYTHON FULL STACK WITH ANGULAR,nykchhr.waazzadh49@gmail.com,9889512155
157,Aiswarya T,PYTHON FULL STACK WITH ANGULAR,kamrawa65@hotmail.com,9889512156
158,Jishma K P,PYTHON FULL STACK WITH ANGULAR,zal_frhng@hotmail.com,9889512157
159,Anu Johnson,PYTHON FULL STACK WITH ANGULAR,chabk.aqyly72@hotmail.com,9889512158
160,Angel Mary Paul,PYTHON FULL STACK WITH ANGULAR,zhyar.hrwy27@gmail.com,9889512159
161,Chindhusha T C,PYTHON FULL STACK WITH ANGULAR,glrng64@yahoo.com,9889512160
162,Krishnapriya Raj,PYTHON FULL STACK WITH ANGULAR,shyna43@hotmail.com,9889512161
163,Deepthi P N,PYTHON FULL STACK WITH ANGULAR,aafrhdkht.krymy18@hotmail.com,9889512162
164,Juny Maria John,PYTHON FULL STACK WITH ANGULAR,frwd.hashmyrfsnjany76@yahoo.com,9889512163
165,Vishnu M D,PYTHON FULL STACK WITH ANGULAR,khzad9@gmail.com,9889512164
166,Aathira P,PYTHON FULL STACK WITH ANGULAR,frkhdad.msbah@gmail.com,9889512165
167,Akhil M U,PYTHON FULL STACK WITH ANGULAR,hyrbd34@yahoo.com,9889512166
168,Abiya Wilson,PYTHON FULL STACK WITH ANGULAR,kyandkht.hwshyar17@yahoo.com,9889512167
169,Ashitha M,PYTHON FULL STACK WITH ANGULAR,khrm38@hotmail.com,9889512168
170,Mitha Waiben,PYTHON FULL STACK WITH ANGULAR,lbkhnd.fatmy@hotmail.com,9889512169
171,Neeraja R,PYTHON FULL STACK WITH ANGULAR,bwyan81@gmail.com,9889512170
172,Reshma Susan Thomas,PYTHON FULL STACK WITH ANGULAR,zyma65@hotmail.com,9889512171
173,Rose Maria Joji,PYTHON FULL STACK WITH ANGULAR,nazprwr_araqy@gmail.com,9889512172
174,Ruksana Salahudeen,PYTHON FULL STACK WITH ANGULAR,zrngar55@yahoo.com,9889512173
175,Saranya . M,PYTHON FULL STACK WITH ANGULAR,chwbyn87@gmail.com,9889512174
176,Thara Thomas,PYTHON FULL STACK WITH ANGULAR,pwnh.kymyayy2@hotmail.com,9889512175
177,Ajesh Raj,PYTHON FULL STACK WITH ANGULAR,tnaz_abdalmlky92@yahoo.com,9889512176
178,Heera Vinod,PYTHON FULL STACK WITH ANGULAR,zadchhr_ghny1@gmail.com,9889512177
179,Jeenu Jayakumar,PYTHON FULL STACK WITH ANGULAR,ramshgr21@gmail.com,9889512178
180,Karthika S,PYTHON FULL STACK WITH ANGULAR,bhnaz_khnmwyy@hotmail.com,9889512179
181,Lubina Anwer,PYTHON FULL STACK WITH ANGULAR,dlksh.hrwy@yahoo.com,9889512180
182,Vishnu.M.B,PYTHON FULL STACK WITH ANGULAR,nazly_alypwr71@gmail.com,9889512181
183,Amal Prakash J,PYTHON FULL STACK WITH ANGULAR,glnwaz35@gmail.com,9889512182
184,Sruthy K S,.NET+ MICROSOFT DYNAMICS,prham_mzfr@hotmail.com,9889512183
185,Angella Sara Sebastian,SDET- TEST AUTOMATION,aaryamhr_hrwy44@yahoo.com,9889512184
186,SaiBalu R,SDET- TEST AUTOMATION,shyrzad_hraty@yahoo.com,9889512185
187,Gifty Mariam,SDET- TEST AUTOMATION,swgnd.msha91@yahoo.com,9889512186
188,Adithya Mohan Nair,SDET- TEST AUTOMATION,shmshad.mnwchhry@gmail.com,9889512187
189,Juliya K Paul,SDET- TEST AUTOMATION,tara.yahqy@gmail.com,9889512188
190,Libina P Joseph,SDET- TEST AUTOMATION,grshasb.nylwfry@hotmail.com,9889512189
191,Arun B,SDET- TEST AUTOMATION,glnwsh_mjtbwy80@gmail.com,9889512190
192,Chillu Elizabeth Kuriakose,SDET- TEST AUTOMATION,frzanh_lachyny86@hotmail.com,9889512191
193,Niranjana Manoj,SDET- TEST AUTOMATION,dlaram_fhmydh26@hotmail.com,9889512192
194,Karthika B,SDET- TEST AUTOMATION,mhrzadh.mlk@yahoo.com,9889512193
195,Sona Maria Noble,SDET- TEST AUTOMATION,bwzhan1@yahoo.com,9889512194
196,Apsara S B,SDET- TEST AUTOMATION,lhrasb_krdbchh34@yahoo.com,9889512195
197,Abhishek K Krishna,SDET- TEST AUTOMATION,shyryndkht70@gmail.com,9889512196
198,Pooja Mohanan,SDET- TEST AUTOMATION,pwnh.namtzadh@hotmail.com,9889512197
199,Akshara S Vijay,SDET- TEST AUTOMATION,brzyn.qanwny@gmail.com,9889512198
200,Lidiya Rajan,SDET- TEST AUTOMATION,glbar.mlkyan40@hotmail.com,9889512199
201,Boncy Benjamin,SDET- TEST AUTOMATION,frydkht.araqy@yahoo.com,9889512200
202,Aishwarya S,SDET- TEST AUTOMATION,nazbanw10@gmail.com,9889512201
203,Athira P Kumar,SDET- TEST AUTOMATION,frkhmhr_qhrmany@gmail.com,9889512202
204,Angella Sara Sebastian,"
Java FULL STACK WITH ANGULAR",swry52@gmail.com,9889512203
205,SaiBalu R,"
Java FULL STACK WITH ANGULAR",nykzad1@yahoo.com,9889512204
206,Gifty Mariam,"
Java FULL STACK WITH ANGULAR",twrj_qmyshy97@hotmail.com,9889512205
207,Adithya Mohan Nair,"
Java FULL STACK WITH ANGULAR",nwyn.ghdhnfry78@yahoo.com,9889512206
208,Juliya K Paul,"
Java FULL STACK WITH ANGULAR",bhtash_msahb92@yahoo.com,9889512207
209,Libina P Joseph,"
Java FULL STACK WITH ANGULAR",srafraz.mwswy83@hotmail.com,9889512208
210,Arun B,"
Java FULL STACK WITH ANGULAR",frkhlqa_hashmyan4@hotmail.com,9889512209
211,Chillu Elizabeth Kuriakose,"
Java FULL STACK WITH ANGULAR",mshknaz.frmanfrmaeyan@yahoo.com,9889512210
212,Niranjana Manoj,"
Java FULL STACK WITH ANGULAR",wamq.araqy84@yahoo.com,9889512211
213,Karthika B,"
Java FULL STACK WITH ANGULAR",glbam.mjthdshbstry53@hotmail.com,9889512212
214,Sona Maria Noble,"
Java FULL STACK WITH ANGULAR",lalh_nqybzadh13@gmail.com,9889512213
215,Apsara S B,"
Java FULL STACK WITH ANGULAR",hywa88@gmail.com,9889512214
216,Abhishek K Krishna,"
Java FULL STACK WITH ANGULAR",yasmn_mlayry@yahoo.com,9889512215
217,Pooja Mohanan,"
Java FULL STACK WITH ANGULAR",rkhshndh.aarf43@hotmail.com,9889512216
218,Akshara S Vijay,"
Java FULL STACK WITH ANGULAR",nrmk.mhmdrdhayy@gmail.com,9889512217
219,Lidiya Rajan,"
Java FULL STACK WITH ANGULAR",rabw.myrbaqry92@yahoo.com,9889512218
220,Boncy Benjamin,"
Java FULL STACK WITH ANGULAR",awrng73@yahoo.com,9889512219
221,Aishwarya S,"
Java FULL STACK WITH ANGULAR",pwrandkht.anayt44@hotmail.com,9889512220
222,Athira P Kumar,"
Java FULL STACK WITH ANGULAR",shhrzad49@yahoo.com,9889512221
223,Vishnudev S,"JAVA -GENERIC, JAN,2020",twrandkht.aaly@yahoo.com,9889512222
224,Mohamed Irshad Kp,"JAVA -GENERIC, JAN,2020",mhyndkht26@hotmail.com,9889512223
225,Aswathi N R,"JAVA -GENERIC, JAN,2020",swzan.aqyly18@yahoo.com,9889512224
226,Sankar Ganesh V,"JAVA -GENERIC, JAN,2020",whrz_anayt@hotmail.com,9889512225
227,Vrinda Vijayakumar,"JAVA -GENERIC, JAN,2020",glsa6@yahoo.com,9889512226
228,Shymol Kochitty,"JAVA -GENERIC, JAN,2020",glbhar97@gmail.com,9889512227
229,Naufa N N,"JAVA -GENERIC, JAN,2020",frwzndh30@gmail.com,9889512228
230,Sreeyenan E K,"JAVA -GENERIC, JAN,2020",shyryn.qhstany@gmail.com,9889512229
231,Vishnudev Kp,"JAVA -GENERIC, JAN,2020",zadbkht96@yahoo.com,9889512230
232,Fathima Samrin P,"JAVA -GENERIC, JAN,2020",mynwfr.alm@yahoo.com,9889512231
233,Navya Babu,"JAVA -GENERIC, JAN,2020",khsrw61@gmail.com,9889512232
234,Krishnendu Shaji,"JAVA -GENERIC, JAN,2020",frkhlqa_mhjwb@yahoo.com,9889512233
235,Amitha Unnikrishnan,.NET+ MICROSOFT DYNAMICS,arzhn48@hotmail.com,9889512234
236,Anagha O K,.NET+ MICROSOFT DYNAMICS,zadbkht.lajwrdy@hotmail.com,9889512235
237,Ananthu A,.NET+ MICROSOFT DYNAMICS,pakdkht85@gmail.com,9889512236
238,Angel Rose K A,.NET+ MICROSOFT DYNAMICS,kamk82@yahoo.com,9889512237
239,Anjali K J,.NET+ MICROSOFT DYNAMICS,hyrbd_qhrmany@hotmail.com,9889512238
240,Anjali Ramesh,.NET+ MICROSOFT DYNAMICS,yzdan99@hotmail.com,9889512239
241,Elbin Thomas,.NET+ MICROSOFT DYNAMICS,fyrwzh.hashmy@yahoo.com,9889512240
242,Jaseem.M,.NET+ MICROSOFT DYNAMICS,pyrwz_ghny@hotmail.com,9889512241
243,Jerin Johny,.NET+ MICROSOFT DYNAMICS,makan_lachyny44@yahoo.com,9889512242
244,Nihamathulla O,.NET+ MICROSOFT DYNAMICS,ftanh_nazry93@yahoo.com,9889512243
245,Nithin Raveendran,.NET+ MICROSOFT DYNAMICS,thmwrth83@hotmail.com,9889512244
246,Anjana .K,.NET+ MICROSOFT DYNAMICS,drya37@yahoo.com,9889512245
247,Anju Susan Achenkunju,.NET+ MICROSOFT DYNAMICS,shhyn_nwbkhty@hotmail.com,9889512246
248,Annette Joe,.NET+ MICROSOFT DYNAMICS,ramtyn_wathqy74@gmail.com,9889512247
249,Ansiya C A,.NET+ MICROSOFT DYNAMICS,glbhar55@hotmail.com,9889512248
250,Anupriya V,.NET+ MICROSOFT DYNAMICS,prya.lahwty@hotmail.com,9889512249
251,Ashwathi Anand,.NET+ MICROSOFT DYNAMICS,bnfshh.alm@gmail.com,9889512250
252,Hasna Hamsath,.NET+ MICROSOFT DYNAMICS,grshasb25@gmail.com,9889512251
253,Yruthika Lakshmi V S,.NET+ MICROSOFT DYNAMICS,snblh_hmaywn14@hotmail.com,9889512252
254,Anjana Anilkumar,.NET+ MICROSOFT DYNAMICS,spnd_mjahd@gmail.com,9889512253
255,Aswany K T,.NET+ MICROSOFT DYNAMICS,mandana_framrzy52@hotmail.com,9889512254
256,Shankar P,.NET+ MICROSOFT DYNAMICS,byzhn_mlayry@gmail.com,9889512255
257,Fatima S,.NET+ MICROSOFT DYNAMICS,mhraafaq16@yahoo.com,9889512256
258,Geethu Ramesh,.NET+ MICROSOFT DYNAMICS,kamran_msahb@hotmail.com,9889512257
259,AKSHAY MADHAN P, ASP.NET,mhryar_frshydwrd@gmail.com,9889512258
260,CILIYA SEABSTIAN, ASP.NET,mhsa53@yahoo.com,9889512259
261,PRIYA REJU, ASP.NET,frkhlqa31@yahoo.com,9889512260
262,Dona Sara Jacob,JAVA.NET,kyandkht.nqdy33@gmail.com,9889512261
263,Ashitha Augustine,JAVA.NET,wyda.azyzy@yahoo.com,9889512262
264,Kumar G,JAVA.NET,shhbaz.glmhmdy@yahoo.com,9889512263
265,Bijoy J Puthussery,JAVA.NET,mhrafzwn_mthry@gmail.com,9889512264
266,Joseph Johny Vallanat,JAVA.NET,ahwra.mlk@hotmail.com,9889512265
267,Athira Gopalakrishnan,JAVA.NET,jhandkht50@yahoo.com,9889512266
268,Ankitha Nair,JAVA.NET,swrn37@yahoo.com,9889512267
269,Dhanusha A D,JAVA.NET,nyma_mftah68@yahoo.com,9889512268
270,Greeshma Madhu,JAVA.NET,frdad_mhdypwr25@yahoo.com,9889512269
271,Sivaparvathy S,JAVA.NET,nykpy.njfy65@yahoo.com,9889512270
272,Vyshnavi Siji Mohanan,JAVA.NET,twzhal_frwtn@gmail.com,9889512271
273,S Sneha,JAVA.NET,frahan_nwbkhty@yahoo.com,9889512272
274,Sahana S,JAVA.NET,aahw7@yahoo.com,9889512273
275,Athira Prasad,JAVA.NET,dlaawyz.hamwn@yahoo.com,9889512274
276,Divya Nair,JAVA.NET,gwmatw.mhajrany46@yahoo.com,9889512275
277,Arathy G.K Nair,JAVA.NET,tyrdad59@hotmail.com,9889512276
